CustomerID,Tenure,MonthlyCharges,SupportTickets,Contract,Age,Churn
C-2000,7,85.19,1,Two year,62,No
C-2001,56,106.75,1,Month-to-month,20,No
C-2002,48,65.39,1,Month-to-month,49,No
C-2003,32,44.78,2,Month-to-month,67,No
C-2004,32,43.67,2,One year,52,No
C-2005,62,94.6,0,Month-to-month,67,No
C-2006,7,101.66,0,Month-to-month,20,No
C-2007,51,30.53,1,Month-to-month,46,Yes
C-2008,15,26.66,0,Month-to-month,59,No
C-2009,7,79.44,0,Month-to-month,52,Yes
C-2010,38,34.62,0,One year,64,No
C-2011,71,102.47,1,Month-to-month,42,No
C-2012,53,51.03,3,Month-to-month,54,No
C-2013,55,34.39,2,One year,40,No
C-2014,52,112.1,2,Month-to-month,64,No
C-2015,57,36.55,4,One year,24,Yes
C-2016,37,48.47,2,Month-to-month,31,No
C-2017,10,35.36,1,Month-to-month,23,No
C-2018,61,31.55,1,Month-to-month,55,Yes
C-2019,33,22.11,0,Month-to-month,30,No
C-2020,37,25.54,0,Month-to-month,34,No
C-2021,27,37.46,1,Two year,62,No
C-2022,14,25.34,0,Month-to-month,37,No
C-2023,67,79.11,3,One year,25,No
C-2024,57,88.07,2,One year,19,Yes
C-2025,47,59.36,0,Month-to-month,30,Yes
C-2026,29,51.8,1,One year,66,Yes
C-2027,60,70.45,2,Month-to-month,47,No
C-2028,40,107.5,0,Month-to-month,70,Yes
C-2029,32,105.11,2,Month-to-month,29,Yes
C-2030,33,24.35,4,One year,36,No
C-2031,17,38.15,0,Two year,26,No
C-2032,7,43.67,1,Month-to-month,39,Yes
C-2033,40,44.94,2,One year,47,No
C-2034,64,77.12,1,One year,60,No
C-2035,5,61.63,1,Month-to-month,37,No
C-2036,62,24.93,2,One year,58,No
C-2037,60,57.36,3,One year,51,No
C-2038,20,72.38,2,Two year,33,No
C-2039,46,30.17,0,Two year,66,No
C-2040,12,103.35,2,Month-to-month,41,Yes
C-2041,55,25.2,0,Month-to-month,26,No
C-2042,51,112.48,3,One year,69,Yes
C-2043,26,29.91,1,Month-to-month,66,No
C-2044,5,104.36,0,Month-to-month,20,Yes
C-2045,70,110.27,2,Two year,65,No
C-2046,33,117.96,3,Month-to-month,68,Yes
C-2047,65,100.2,3,Month-to-month,61,Yes
C-2048,49,97.95,1,Two year,31,No
C-2049,57,84.25,3,Month-to-month,51,Yes
C-2050,55,97.9,0,Month-to-month,46,No
C-2051,15,33.46,1,Two year,50,No
C-2052,27,73.61,4,Month-to-month,50,Yes
C-2053,34,71.42,1,Month-to-month,51,Yes
C-2054,36,105.76,2,Month-to-month,45,Yes
C-2055,4,66.28,2,Two year,54,Yes
C-2056,40,58.51,1,Month-to-month,45,No
C-2057,12,83.96,0,One year,18,No
C-2058,54,46.65,0,Month-to-month,19,Yes
C-2059,50,33.98,2,Month-to-month,68,Yes
C-2060,67,67.79,1,Two year,66,No
C-2061,54,61.69,2,One year,49,No
C-2062,27,43.26,0,Two year,27,No
C-2063,70,56.75,0,Month-to-month,59,No
C-2064,30,56.64,2,One year,25,No
C-2065,24,52.75,0,Two year,37,No
C-2066,66,57.95,3,Month-to-month,35,No
C-2067,27,88.57,0,Month-to-month,18,Yes
C-2068,6,49.69,1,Two year,60,No
C-2069,34,114.89,6,Month-to-month,45,Yes
C-2070,58,111.63,0,One year,34,No
C-2071,14,68.09,1,Two year,44,No
C-2072,34,52.84,0,Month-to-month,18,Yes
C-2073,10,73.54,3,Month-to-month,41,Yes
C-2074,50,104.86,1,Month-to-month,45,No
C-2075,35,85.26,3,Month-to-month,36,Yes
C-2076,24,100.44,1,Month-to-month,62,Yes
C-2077,17,73.27,2,One year,31,Yes
C-2078,41,83.29,1,Month-to-month,25,No
C-2079,49,48.82,1,One year,45,No
