CustomerID,Age,Region,SignupDate,PurchaseAmount,IsActive,Churned,PurchaseAmount_Outlier
C-1123,42.0,West,2024-03-21,391.68,False,No,False
C-1295,45.0,South,2022-02-26,461.13,True,No,False
C-1229,27.0,North,2023-09-06,115.0,True,Yes,False
C-1157,47.0,North,2024-09-15,374.02,True,No,False
C-1312,24.0,South,2022-03-08,173.54,True,Yes,False
C-1139,41.0,South,2022-10-15,0.0,True,No,False
C-1218,41.0,East,2024-11-16,44.91,True,Yes,False
C-1226,60.0,South,2024-09-09,374.02,True,No,False
C-1206,58.0,East,2022-08-10,64.49,False,No,False
C-1014,56.0,East,2023-11-22,668.29,False,No,False
C-1219,65.0,East,2024-11-19,732.0,False,Yes,False
C-1098,43.0,North,2022-04-03,245.0,True,Yes,False
C-1289,43.0,South,2024-10-24,838.0,True,No,False
C-1282,53.0,West,2024-11-12,110.37,True,No,False
C-1136,49.0,South,2022-01-05,54.49,False,No,False
C-1153,33.0,South,2023-07-28,113.98,True,No,False
C-1164,40.0,North,2022-10-28,199.0,True,No,False
C-1319,58.0,South,2023-06-22,404.0,True,No,False
C-1294,46.0,North,2022-02-14,394.47,True,No,False
C-1053,42.0,East,2023-11-14,426.7,True,Yes,False
C-1265,43.0,East,2023-10-07,134.88,True,No,False
C-1099,25.0,East,2022-09-01,177.98,False,No,False
C-1182,44.0,East,2023-03-23,393.46,True,No,False
C-1020,44.0,North,2022-07-29,151.0,False,No,False
C-1016,45.0,West,2022-07-14,120.81,True,Yes,False
C-1060,66.0,West,2024-03-12,135.52,True,Yes,False
C-1302,18.0,South,2023-07-20,337.0,False,No,False
C-1291,32.0,East,2024-03-20,502.0,True,Yes,False
C-1290,60.0,East,2024-11-16,253.47,True,Yes,False
C-1150,63.0,West,2022-09-18,296.23,True,No,False
C-1083,62.0,North,2023-07-11,265.18,True,No,False
C-1030,41.0,North,2023-10-18,336.0,False,No,False
C-1012,56.0,South,2024-10-01,260.0,True,No,False
C-1318,43.0,East,2022-11-27,363.56,True,No,False
C-1296,63.0,South,2022-09-27,230.97,False,Yes,False
C-1112,47.0,North,2022-02-23,586.0,False,No,False
C-1292,68.0,East,2022-04-23,290.07,True,No,False
C-1272,26.0,West,2024-05-12,742.17,True,No,False
C-1217,23.0,North,2024-08-29,573.56,True,No,False
C-1028,46.0,South,2022-12-03,401.26,True,No,False
C-1116,19.0,West,2024-01-10,532.0,False,No,False
C-1243,52.0,East,2024-07-24,8449.0,False,No,True
C-1049,59.0,West,2023-07-19,365.25,False,No,False
C-1233,58.0,West,2022-12-02,980.23,False,No,False
C-1307,47.0,North,2024-07-21,217.16,True,No,False
C-1297,41.0,South,2023-09-19,7067.58,False,No,True
C-1279,22.0,North,2023-04-13,626.01,True,No,False
C-1197,24.0,North,2022-08-29,280.0,True,Yes,False
C-1235,56.0,West,2024-12-13,326.56,True,No,False
C-1061,57.0,West,2024-06-05,308.33,True,No,False
C-1088,58.0,South,2024-12-15,225.0,True,No,False
C-1317,56.0,East,2024-12-05,499.35,False,No,False
C-1175,43.0,North,2023-04-11,765.55,True,No,False
C-1021,37.0,North,2022-10-11,177.38,True,Yes,False
C-1052,37.0,North,2024-11-20,312.34,True,No,False
C-1308,34.0,East,2022-05-03,139.19,True,No,False
C-1011,43.0,East,2024-12-29,103.56,True,No,False
C-1203,55.0,South,2022-04-01,378.7,True,Yes,False
C-1039,51.0,West,2024-02-21,443.47,True,No,False
C-1085,55.0,East,2024-11-20,589.48,False,Yes,False
C-1188,30.0,North,2024-12-28,389.09,True,No,False
C-1070,60.0,East,2024-12-14,548.44,True,Yes,False
C-1041,58.0,East,2024-05-29,467.89,True,No,False
C-1134,60.0,North,2024-07-28,381.91,False,No,False
C-1082,26.0,West,2022-02-14,270.0,True,No,False
C-1169,19.0,East,2024-01-14,206.2,False,No,False
C-1267,36.0,North,2022-10-07,271.83,True,Yes,False
C-1250,27.0,East,2024-08-15,638.49,True,No,False
C-1008,28.0,South,2022-04-25,164.38,True,No,False
C-1249,20.0,North,2023-01-15,766.91,False,No,False
C-1002,52.0,South,2023-01-08,187.07,True,No,False
C-1205,32.0,East,2023-01-20,325.67,False,No,False
C-1186,26.0,West,2023-09-22,188.02,True,Yes,False
C-1271,19.0,East,2022-10-20,1150.3,True,No,True
C-1174,54.0,East,2024-02-25,59.04,True,No,False
C-1103,18.0,South,2022-10-19,201.11,True,No,False
C-1025,52.0,South,2024-01-27,374.02,True,No,False
C-1102,60.0,South,2024-05-28,323.33,True,Yes,False
C-1101,28.0,South,2023-08-15,330.11,True,No,False
C-1286,26.0,East,2023-04-20,461.99,True,Yes,False
C-1159,59.0,West,2024-02-17,463.25,True,No,False
C-1031,30.0,North,2023-09-13,322.71,True,No,False
C-1261,27.0,North,2024-07-31,823.0,False,No,False
C-1022,27.0,East,2022-01-28,471.66,True,No,False
C-1062,37.0,South,2023-04-27,609.82,True,No,False
C-1270,33.0,North,2024-09-15,503.0,True,No,False
C-1069,42.0,South,2022-04-28,374.02,True,No,False
C-1216,22.0,East,2023-04-06,70.8,False,No,False
C-1234,44.0,North,2023-08-03,544.84,True,No,False
C-1054,44.0,East,2024-05-06,188.25,True,No,False
C-1305,25.0,South,2022-02-22,517.49,False,No,False
C-1077,30.0,West,2023-11-29,456.55,False,No,False
C-1214,57.0,North,2023-01-11,241.62,False,No,False
C-1298,33.0,North,2022-03-13,382.61,True,No,False
C-1155,53.0,North,2024-05-03,477.14,True,Yes,False
C-1029,41.0,North,2022-06-05,337.0,True,Yes,False
C-1044,43.0,West,2023-06-07,233.05,True,No,False
C-1137,19.0,South,2024-11-08,262.41,True,No,False
C-1303,43.0,East,2024-05-15,129.47,True,No,False
C-1130,47.0,West,2022-09-14,69.82,False,No,False
C-1113,42.0,South,2023-02-09,374.02,True,No,False
C-1095,33.0,North,2022-03-23,401.05,True,No,False
C-1086,23.0,North,2023-06-21,195.0,True,Yes,False
C-1285,67.0,East,2024-10-20,692.68,True,Yes,False
C-1239,51.0,West,2023-11-10,229.7,False,No,False
C-1237,40.0,East,2022-08-25,265.4,True,No,False
C-1003,41.0,West,2023-10-01,387.92,True,No,False
C-1055,20.0,North,2023-05-20,687.11,False,Yes,False
C-1183,54.0,East,2023-08-08,219.88,True,Yes,False
C-1306,34.0,South,2022-02-25,453.96,True,No,False
C-1230,42.0,West,2022-12-23,570.0,True,No,False
C-1026,39.0,East,2023-05-06,779.84,True,Yes,False
C-1135,34.0,North,2023-05-01,374.2,False,Yes,False
C-1199,68.0,South,2023-01-12,374.02,True,No,False
C-1184,44.0,South,2022-05-30,520.0,True,No,False
C-1051,28.0,West,2022-11-08,627.04,False,No,False
