CustomerID,Age,Region,SignupDate,PurchaseAmount,IsActive,Churned
C-1123,42.0,West,03/21/2024,391.68 USD,No,No
C-1295,45.0,South,02/26/2022,$461.13,Yes,No
C-1229,27.0,North,"September 06, 2023",$115,Yes,Yes
C-1157,47.0,North,09/15/2024,,Yes,No
C-1312,24.0,South,"March 08, 2022",173.54 USD,Yes,Yes
C-1139,41.0,South,"October 15, 2022",0.00,Yes,No
C-1218,41.0,East,16-Nov-2024,$44.91,Yes,Yes
C-1226,60.0,South,2024-09-09,unknown,Yes,No
C-1206,58.0,East,"August 10, 2022",$64.49,No,No
C-1014,56.0,East,11/22/2023,$668.29, No,No
C-1219,65.0,East,11/19/2024,$732,No,Yes
C-1098,, North,04/03/2022,$245,Yes,Yes
C-1289,43.0,South ,24-Oct-2024,$838,Yes,No
C-1282,53.0,W.,12-Nov-2024,110.37 USD,YES,No
C-1136,49.0,South,05-Jan-2022,54.49 USD,No,No
C-1153,33.0,South,28-Jul-2023,113.98 USD,Yes,No
C-1164,40.0,North,2022-10-28,$199,Yes,No
C-1319,58.0,South,"June 22, 2023",$404,Yes,No
C-1294,46.0,North,02/14/2022,394.47 USD,Yes,No
C-1053,42.0,east,2023-11-14,426.70,Yes,Yes
C-1265,,East,10/07/2023,134.88 USD,Yes,No
C-1099,25.0,East,01-Sep-2022,177.98 USD,No,No
C-1182,44.0,East,03/23/2023,393.46,Yes,No
C-1020,44.0,north,"July 29, 2022",$151,No,No
C-1016,45.0, West,07/14/2022,$120.81,Yes,Yes
C-1060,66.0,West,2024-03-12,135.52 USD,Yes,Yes
C-1302,18.0,South,20-Jul-2023,$337,No,No
C-1291,32.0,East,2024-03-20,$502,Yes,Yes
C-1290,60.0,East,11/16/2024,253.47,Yes,Yes
C-1150,63.0,West,18-Sep-2022,$296.23,Yes,No
C-1083,62.0,North,07/11/2023,265.18 USD,Yes,No
C-1030,41.0,North,10/18/2023,$336,No,No
C-1012,56.0,South ,01-Oct-2024,$260,Yes ,No
C-1318,,East,2022-11-27,363.56,Yes,No
C-1296,63.0,South,09/27/2022,230.97,No,Yes
C-1112,47.0,N.,2022-02-23,$586,No,No
C-1292,68.0,East,2022-04-23,290.07 USD,Yes,No
C-1272,26.0,W.,12-May-2024,$742.17,Yes,No
C-1217,23.0,North,2024-08-29,573.56 USD,Yes,No
C-1028,46.0,South,2022-12-03,401.26 USD,Yes,No
C-1116,19.0,West ,2024-01-10,$532,No,No
C-1243,52.0,East,2024-07-24,$8449,No,No
C-1049,59.0,West,07/19/2023,$365.25,No,No
C-1233,58.0,West,12/02/2022,980.23,No,No
C-1307,47.0,North,21-Jul-2024,217.16,Yes,No
C-1297,41.0,South,"September 19, 2023","$7,067.58",No,No
C-1279,22.0,North,04/13/2023,626.01 USD,Yes,No
C-1197,24.0,North,29-Aug-2022,$280,Yes,Yes
C-1235,56.0,West,"December 13, 2024",326.56 USD,Yes,No
C-1061,57.0,West,05-Jun-2024,308.33 USD,Yes,No
C-1088,58.0,South,12/15/2024,$225,Yes,No
C-1317,56.0,east,12/05/2024,$499.35,No,No
C-1175,,North,2023-04-11,$765.55,Yes,No
C-1021,37.0,NORTH,10/11/2022,177.38,Yes,Yes
C-1052,37.0, North,"November 20, 2024",312.34 USD,Yes,No
C-1308,34.0,East,2022-05-03,139.19 USD,Yes,No
C-1011,,East,2024-12-29,103.56 USD,Yes,No
C-1203,55.0,South,"April 01, 2022",378.70 USD,Yes,Yes
C-1039,51.0,West,02/21/2024,443.47 USD,Yes,No
C-1085,55.0,EAST,2024-11-20,$589.48,No,Yes
C-1188,30.0,North,12/28/2024,$389.09,Yes,No
C-1070,60.0,East,"December 14, 2024",$548.44,Yes ,Yes
C-1041,58.0,East,05/29/2024,467.89,Yes,No
C-1134,60.0,North,2024-07-28,$381.91,NO,No
C-1082,26.0,West,"February 14, 2022",$270,Yes,No
C-1169,19.0,East,01/14/2024,206.20 USD,No,No
C-1267,36.0,North,2022-10-07,$271.83,Yes,Yes
C-1250,27.0,East,15-Aug-2024,638.49,Yes,No
C-1008,28.0,South,"April 25, 2022",$164.38,Yes,No
C-1249,20.0,North,"January 15, 2023",766.91 USD,No,No
C-1002,52.0,South,01/08/2023,187.07 USD,YES,No
C-1205,32.0,East,2023-01-20,325.67 USD,No,No
C-1186,26.0,West,22-Sep-2023,$188.02,Yes,Yes
C-1271,19.0,East,"October 20, 2022","1,150.30 USD",Yes,No
C-1174,54.0,East,2024-02-25,$59.04,Yes,No
C-1103,18.0,South,10/19/2022,201.11,Yes,No
C-1025,52.0,South,2024-01-27,,YES,No
C-1102,60.0,South ,28-May-2024,$323.33,Yes,Yes
C-1101,28.0,South,2023-08-15,$330.11,Yes,No
C-1286,26.0,East,20-Apr-2023,$461.99,YES,Yes
C-1159,59.0,West,2024-02-17,463.25,Yes,No
C-1031,30.0,North,"September 13, 2023",322.71,Yes,No
C-1261,27.0,North ,2024-07-31,$823, No,No
C-1022,27.0,East,"January 28, 2022",471.66 USD,Yes,No
C-1062,37.0,South,27-Apr-2023,609.82,Yes ,No
C-1270,33.0,North,09/15/2024,$503,Yes,No
C-1069,42.0,South,28-Apr-2022,374.02,Yes,No
C-1216,22.0,East,04/06/2023,$70.80,No,No
C-1234,44.0,North,08/03/2023,544.84 USD,Yes,No
C-1054,44.0,East,2024-05-06,188.25 USD,Yes,No
C-1305,25.0,South,2022-02-22,$517.49,No,No
C-1077,30.0,west,11/29/2023,456.55 USD,No,No
C-1214,57.0,North,"January 11, 2023",241.62 USD, No,No
C-1298,33.0,North ,2022-03-13,382.61 USD,Yes,No
C-1155,53.0,North ,2024-05-03,477.14,yes,Yes
C-1029,41.0,North,"June 05, 2022",$337,Yes,Yes
C-1044,,West,07-Jun-2023,$233.05,Yes,No
C-1137,19.0,SOUTH,2024-11-08,$262.41,Yes,No
C-1303,,East,2024-05-15,129.47,Yes,No
C-1130,47.0,West,14-Sep-2022,$69.82,No,No
C-1113,42.0,South,09-Feb-2023,N/A,Yes,No
C-1308,34.0,East,2022-05-03,139.19 USD,Yes,No
C-1095,33.0,North,23-Mar-2022,$401.05,Yes,No
C-1086,23.0,North,"June 21, 2023",$195,Yes,Yes
C-1285,67.0,East,2024-10-20,692.68 USD,Yes,Yes
C-1099,25.0,East,01-Sep-2022,177.98 USD,No,No
